Common Name,Len,Faculty,Len2,Number,Len3,Course Title,Len4,Schedule,Len5,Lecture Hours,Len6,Lab Hours,Len7,Weight,Len8,Description,Len9,Prerequisites,Len10,Corequisites,Len11,Restrictions,Len12,Equates,Len13,Departments,Len14,Offerings,Len15,External Course Codes,Len16,Total
ACCT*1220,9,ACCT,4,1220,4,Introductory Financial Accounting,33,"F,W",3,3,1,0,1,0.5,3,This introductory course is designed to develop a foundational understanding of current accounting principles and their implication for published financial reports of business enterprises. It builds the base of knowledge and understanding required to succeed in more advanced study of accounting. The course approaches the subject from the point of view of the user of accounting information rather than that of a person who supplies the information. ,451,,0,,0,"ACCT*2220, This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.",152,,0,Department of Management,24,Also offered through Distance Education format.,47,,0,732
ACCT*1240,9,ACCT,4,1240,4,Applied Financial Accounting,28,W,1,3,1,0,1,0.5,3,"This course requires students to apply the fundamental principles emanating from accounting’s conceptual framework and undertake the practice of financial accounting. Students will become adept at performing the functions related to each step in the accounting cycle, up to and including the preparation of the financial statements and client reports. Students will also develop the skills necessary for assessing an organization’s system of internal controls and financial conditions. ",490,ACCT*1220 or ACCT*2220,22,,0,"ACCT*2240, This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.",152,,0,Department of Management,24,,0,,0,739
ACCT*2230,9,ACCT,4,2230,4,Management Accounting,21,"F,W",3,3,1,0,1,0.5,3,"This course emphasizes the use of accounting information to facilitate effective management decisions. Topics include cost determination, cost control and analysis, budgeting, profit-volume analysis and capital investment analysis. ",232,ACCT*1220 or ACCT*2220,22,,0,This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,141,"AGEC*2230, BUS*2230",19,Department of Management,24,,0,,0,484
ACCT*3230,9,ACCT,4,3230,4,Intermediate Management Accounting,34,"S,W",3,3,1,0,1,0.5,3,"This course continues the managerial decision making focus of ACCT*2230. Topics include process costing, transfer pricing, the decision making process, variances and performance measurement. ",191,ACCT*2230,9,,0,Enrolment may be restricted to particular degrees or programs. See department for more information.,99,BUS*3230,8,Department of Management,24,Also offered through Distance Education format.,47,,0,437
ACCT*3280,9,ACCT,4,3280,4,Auditing I,10,"S,F",3,3,1,0,1,0.5,3,"Auditing I is an examination of the principles and theory underlying the practice of auditing. Concepts of materiality and audit risk are examined and discussed. Sources and techniques for gathering auditing evidence will also be examined. Modern organizations rely on information systems, technology and internal controls to manage and monitor their operations and the impact of these systems on the quality of information produced and on the scope of audits are important elements of this course. ",499,ACCT*3330,9,,0,,0,,0,Department of Management,24,,0,,0,567
ACCT*3330,9,ACCT,4,3330,4,Intermediate Financial Accounting I,35,"F,W",3,3,1,0,1,0.5,3,"This course presents a critical evaluation of accounting concepts, principles and practices in relation to both the traditional and current value accounting measurement models. Emphasis will be on the effect of alternative accounting practices and measurement models on income determination and asset valuation. ",312,ACCT*1220 or ACCT*2220,22,,0,This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,141,BUS*3330,8,Department of Management,24,Also offered through Distance Education format.,47,,0,614
ACCT*3340,9,ACCT,4,3340,4,Intermediate Financial Accounting II,36,"S,F",3,3,1,0,1,0.5,3,"This course focuses on how entities account for current and non-current liabilities and equity accounts, including, income taxes, leases, pensions and other post retirement benefits, share equity and retained earnings, stock options. Additional topics may include earnings per share, restatements and statement analysis. ",321,ACCT*3330,9,,0,,0,,0,Department of Management,24,,0,,0,415
ACCT*3350,9,ACCT,4,3350,4,Taxation,8,"S,F",3,3,1,0,1,0.5,3,The fundamentals of the tax system as it applies to all taxpayers will be the focus of the first half of the course. The second half will develop forms of business organizations from a tax perspective. Basic tax planning techniques which attempt to maximize the cash flows and returns on investments will then be studied. The emphasis in the course is on business decision making. A review of personal financial planning and investment decisions will also be included. ,469,ACCT*3330,9,,0,Enrolment may be restricted to particular degrees or programs. See the department for more information.,103,,0,Department of Management,24,,0,,0,638
ACCT*4220,9,ACCT,4,4220,4,Advanced Financial Accounting,29,F,1,3,1,0,1,0.5,3,"This course is a critical evaluation of issues and problems associated with business combinations, long-term intercorporate investments, foreign operations and accounting for not-for-profit organizations. There is a strong emphasis on applying this body of knowledge through practical problems. ",295,"(ACCT*3330 or BUS*3330), (ACCT*3340 or BUS*3340)",48,,0,Enrolment may be restricted to particular degrees or programs. See the department for more information.,103,BUS*4220,8,Department of Management,24,,0,,0,530
ACCT*4230,9,ACCT,4,4230,4,Advanced Management Accounting,30,W,1,3,1,0,1,0.5,3,This course provides advanced coverage of management accounting concepts and the application of management accounting information for managerial decision-making. This course extends the concepts covered in intermediate management accounting and also integrates pertinent situational problems from other functional areas of enterprises such as global trade and process controls. ,378,ACCT*3230 or BUS*3230,21,,0,Enrolment may be restricted to particular degrees or programs. See the department for more information.,103,BUS*4230,8,Department of Management,24,,0,,0,587
ACCT*4270,9,ACCT,4,4270,4,Auditing II,11,F,1,3,1,0,1,0.5,3,This course considers a number of advanced topics concerning both the auditor and audit techniques within the context of public accounting. It builds on the knowledge of the audit task derived in Auditing I - ACCT*3280 as well as the depth and breadth of knowledge gained in ACCT*3330 and ACCT*3340. ,300,ACCT*3280 or BUS*3280,21,,0,,0,BUS*4270,8,Department of Management,24,,0,,0,387
ACCT*4290,9,ACCT,4,4290,4,IT Auditing and Data Analytics,30,W,1,3,1,0,1,0.5,3,"This course introduces the student to the field of auditing within a computer based environment. Students will develop an enhanced understanding of information systems, information system risks, management controls, control evaluation, audit strategies, and computer assisted audit techniques. The course will also introduce data analytic techniques used to analyze structured and unstructured data. ",400,ACCT*3280 or BUS*4280,21,,0,,0,BUS*4290,8,Department of Management,24,,0,,0,506
