Common Name,Faculty,Number,Course Title,Schedule,Lecture Hours,Lab Hours,Weight,Description,Equates,Departments,Offerings
ANTH*1120,ANTH,1120,Biological Anthropology,F,3,0,0.5,"In this course students will be introduced to the central concepts of biological anthropology. Potential topics to be explored include hominid evolution, contemporary human diversity, nutrition and diet, and an introduction of forensic anthropology and paleopathology. ",,Department of Sociology and,
ANTH*1150,ANTH,1150,Introduction to Anthropology,"F,W",3,0,0.5,"This course deals with humankind from a broad historical and cross-cultural perspective. Theoretical models, case studies and specific methods will be presented. Course topics may include the origin and transformations of human society, the relationship between biological and cultural traits, human language, variation in family structure and religion, the economic and political aspects of human society. ",,Department of Sociology and,Also offered through Distance Education format.
ARAB*1100,ARAB,1100,Introductory Arabic I,F,4,0,0.5,"This course provides an introduction to Arabic script, articulation of the sounds, basic grammar, and is designed to enable students to begin communicating in Modern Standard Arabic (MSA). ). This course is not intended for students with native or near-native fluency in Arabic. Students with advanced Arabic may be removed from the course. ",,School of Languages and Literatures,
ARTH*1510,ARTH,1510,Art Historical Studies I,F,3,0,0.5,"This course considers the visual arts in the Western tradition from prehistory through the Middle Ages. Emphasis will be placed on historical and critical analysis of key monuments and on the prerequisite technologies, as well as on various ways of looking at the visual past and present. ",,School of Fine Art and Music,
ARTH*1520,ARTH,1520,Art Historical Studies II,W,3,0,0.5,"A consideration of the visual arts in the Western tradition. Emphasis will be placed on historical and critical analysis of key monuments and on the prerequisite technologies, as well as on various ways of looking at the visual past and present. Focus will be on the visual arts from the Renaissance to today. ",,School of Fine Art and Music,
BIOL*1050,BIOL,1050,Biology of Plants & Animals in Managed Ecosystems,F,3,2,0.5,"In this course students will investigate the biology of plants and animals in the context of agroecosystems and other managed ecosystems. Students will learn about the form and function of plants and animals and interactions between organisms and their environments. The course strongly emphasizes participatory and self-directed learning, problem solving, reasoning and exposure to primary research literature and will address key concepts in evolution, plant and animal structure, physiology and ecology. Students lacking Grade 12 or 4U Biology should consult with their program counsellor prior to taking BIOL*1050 in first semester. ",,"Department of Plant Agriculture, Department of Animal Biosciences",
BIOL*1070,BIOL,1070,Discovering Biodiversity,"F,W",3,0,0.5,"This course strongly emphasizes the development of learning and reasoning skills, an understanding of the nature of biological inquiry, and key concepts in evolution, ecology, and organismal biology. These include the meaning and significance of biodiversity and current issues surrounding it, the evolutionary processes through which biological diversity originates and is interrelated, the complexity of organisms and the importance of physical organization and regulatory processes, and the nature of interactions among organisms and between organisms and their biotic and abiotic environments. Students lacking Grade 12 or 4U Biology should consult with their program counsellor prior to taking BIOL*1070 in first semester. ",,Department of Integrative Biology,
BIOL*1080,BIOL,1080,Biological Concepts of Health,"F,W",3,1,0.5,"This course will define the physiology of the individual as the biological foundation of health and focus on selected studies of health and illness in the adult human. Students will derive an understanding of the biological foundation of their own health as an adult and will be encouraged to expand the concepts and processes of individual health to human populations, animals and the environment. Through lectures, laboratories, small group tutorials and an individual research project, students will gain an introduction to research in the health sciences. Students lacking Grade 12 or 4U Biology should consult with their program counsellor prior to taking BIOL*1080 in first semester. ",,Department of Human Health and Nutritional,
BIOL*1090,BIOL,1090,Introduction to Molecular and Cellular Biology,"F,W",3,0,0.5,"This course will foster an understanding of key concepts in molecular and cell biology and genetics including evolution, relationship between structure and function, energy and regulation, interrelatedness of life, and the nature of science. By relating these concepts to their daily lives, through analysis of problems and tutorial discussions, students will develop an understanding of five central themes: 1) all living things share common properties, 2) the cell is the fundamental functional unit of life, 3) managing energy is central to success, 4) genes are the fundamental information unit of life, and 5) heredity. Students lacking Grade 12 or 4U Biology should consult with their program counsellor prior to taking BIOL*1090 in first semester. ",,Department of Molecular and Cellular,
CHEM*1060,CHEM,1060,Introductory Chemistry,F,3,0,0.5,"This course stresses fundamental principles of chemistry and is designed for students without Grade 12 or 4U Chemistry or equivalent. Topics include: atomic theory, the periodic table, stoichiometry, properties of gases and liquids, acid-base concepts and chemical equilibria. This course is intended only for students who require the equivalent of Grade 12 or 4U Chemistry in order to proceed to CHEM*1040. ",,Department of Chemistry,Offered through Distance Education format only.
